Description,pvalue,cluster
GO:0010116_positive regulation of abscisic acid biosynthetic process,1,3
GO:0097438_exit from dormancy,1,3
GO:0050691_regulation of defense response to virus by host,1,3
GO:0044419_biological process involved in interspecies interaction between organisms,0.824,3
GO:0070301_cellular response to hydrogen peroxide,0.000033,3
GO:0043290_apocarotenoid catabolic process,1,3
GO:0015721_bile acid and bile salt transport,0.453,3
GO:0016107_sesquiterpenoid catabolic process,1,3
GO:0120256_olefinic compound catabolic process,1,3
GO:1902932_positive regulation of alcohol biosynthetic process,0.453,3
GO:0015692_lead ion transport,1,3
GO:0046345_abscisic acid catabolic process,1,3
GO:0009800_cinnamic acid biosynthetic process,1,3
GO:0032025_response to cobalt ion,0.112,3
GO:0010927_cellular component assembly involved in morphogenesis,0.929,3
GO:0042886_amide transport,0.97,3
GO:0009991_response to extracellular stimulus,0.128,3
GO:0010106_cellular response to iron ion starvation,0.112,3
GO:0009738_abscisic acid-activated signaling pathway,1,3
GO:0120254_olefinic compound metabolic process,0.977,3
GO:0031668_cellular response to extracellular stimulus,0.066,3
GO:0071496_cellular response to external stimulus,0.076,3
GO:0015912_short-chain fatty acid transport,1,3
GO:0072330_monocarboxylic acid biosynthetic process,0.625,3
GO:0015812_gamma-aminobutyric acid transport,1,3
GO:0006972_hyperosmotic response,0.33,3
GO:0015850_organic hydroxy compound transport,0.587,3
GO:0033591_response to L-ascorbic acid,0.582,3
GO:0009298_GDP-mannose biosynthetic process,0.00785,3
GO:0034059_response to anoxia,0.0477,3
GO:0042221_response to chemical,0.948,3
GO:0031408_oxylipin biosynthetic process,0.00712,3
GO:0034406_cell wall beta-glucan metabolic process,0.042,3
GO:0052541_plant-type cell wall cellulose metabolic process,0.042,3
GO:0031348_negative regulation of defense response,0.187,3
GO:0034614_cellular response to reactive oxygen species,0.172,3
GO:0006559_L-phenylalanine catabolic process,1,3
GO:0046864_isoprenoid transport,0.254,3
GO:0046865_terpenoid transport,0.254,3
GO:0080168_abscisic acid transport,0.254,3
GO:0015824_proline transport,0.799,3
GO:0009682_induced systemic resistance,0.228,3
GO:0009718_anthocyanin-containing compound biosynthetic process,0.609,3
GO:0043069_negative regulation of programmed cell death,1,3
GO:0009593_detection of chemical stimulus,1,3
GO:0006879_cellular iron ion homeostasis,0.202,3
GO:0009414_response to water deprivation,0.205,3
GO:0016115_terpenoid catabolic process,0.352,3
GO:0005513_detection of calcium ion,1,3
GO:0080167_response to karrikin,0.172,3
GO:0008300_isoprenoid catabolic process,0.376,3
GO:0060548_negative regulation of cell death,1,3
GO:0009415_response to water,0.218,3
GO:0015706_nitrate transport,0.228,3
GO:0110126_phloem loading,0.168,3
GO:0055062_phosphate ion homeostasis,1,3
GO:0072506_trivalent inorganic anion homeostasis,1,3
GO:0019748_secondary metabolic process,0.16,3
GO:0006826_iron ion transport,0.169,3
GO:0009642_response to light intensity,0.745,3
GO:0006714_sesquiterpenoid metabolic process,0.452,3
GO:0033273_response to vitamin,0.813,3
GO:0001101_response to acid chemical,0.322,3
GO:0031540_regulation of anthocyanin biosynthetic process,0.0844,3
GO:0010167_response to nitrate,0.479,3
GO:0010119_regulation of stomatal movement,0.011,3
GO:0010115_regulation of abscisic acid biosynthetic process,0.857,3
GO:0055072_iron ion homeostasis,0.104,3
GO:0034599_cellular response to oxidative stress,0.0375,3
GO:0009809_lignin biosynthetic process,0.432,3
GO:0017085_response to insecticide,0.866,3
GO:0009962_regulation of flavonoid biosynthetic process,0.259,3
GO:0009683_indoleacetic acid metabolic process,0.276,3
GO:0009581_detection of external stimulus,0.264,3
GO:0055076_transition metal ion homeostasis,0.0496,3
GO:0042360_vitamin E metabolic process,0.0134,3
GO:0009647_skotomorphogenesis,1,3
GO:0010189_vitamin E biosynthetic process,0.0134,3
GO:0006026_aminoglycan catabolic process,1,3
GO:0006030_chitin metabolic process,1,3
GO:0006032_chitin catabolic process,1,3
GO:0006535_cysteine biosynthetic process from serine,0.362,3
GO:0010268_brassinosteroid homeostasis,0.64,3
GO:1902221_erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process,1,3
GO:1901072_glucosamine-containing compound catabolic process,1,3
GO:0006558_L-phenylalanine metabolic process,1,3
GO:0046348_amino sugar catabolic process,1,3
GO:0009692_ethylene metabolic process,0.999,3
GO:0009693_ethylene biosynthetic process,0.999,3
GO:1900673_olefin metabolic process,0.999,3
GO:1900674_olefin biosynthetic process,0.999,3
GO:0043450_alkene biosynthetic process,0.999,3
GO:0043449_cellular alkene metabolic process,0.999,3
GO:0009624_response to nematode,0.205,3
GO:1901701_cellular response to oxygen-containing compound,0.999,3
GO:1902930_regulation of alcohol biosynthetic process,0.687,3
GO:0009970_cellular response to sulfate starvation,0.0889,3
GO:0006171_cAMP biosynthetic process,0.916,3
GO:0043173_nucleotide salvage,0.702,3
GO:0042908_xenobiotic transport,0.832,3
GO:0006855_xenobiotic transmembrane transport,0.832,3
GO:0019853_L-ascorbic acid biosynthetic process,0.0102,3
GO:0009407_toxin catabolic process,0.997,3
GO:0046686_response to cadmium ion,0.00228,3
GO:0045488_pectin metabolic process,0.0437,3
GO:0010393_galacturonan metabolic process,0.0453,3
GO:0019852_L-ascorbic acid metabolic process,0.0135,3
GO:0071554_cell wall organization or biogenesis,0.0412,3
GO:0006575_cellular modified amino acid metabolic process,0.0653,3
GO:0090332_stomatal closure,0.0473,3
GO:0071456_cellular response to hypoxia,0.94,3
GO:0055081_anion homeostasis,0.766,3
GO:0006144_purine nucleobase metabolic process,0.766,3
GO:0046058_cAMP metabolic process,0.777,3
GO:0051339_regulation of lyase activity,0.944,3
GO:0015807_L-amino acid transport,0.788,3
GO:0048448_stamen morphogenesis,0.319,3
GO:0098661_inorganic anion transmembrane transport,0.0746,3
GO:0046916_cellular transition metal ion homeostasis,0.204,3
GO:0120251_hydrocarbon biosynthetic process,0.998,3
GO:0009404_toxin metabolic process,0.997,3
GO:0042362_fat-soluble vitamin biosynthetic process,0.0129,3
GO:0062197_cellular response to chemical stress,0.0346,3
GO:0019216_regulation of lipid metabolic process,0.0433,3
GO:1901616_organic hydroxy compound catabolic process,0.0968,3
GO:0070417_cellular response to cold,0.0454,3
GO:0052542_defense response by callose deposition,1,3
GO:0006066_alcohol metabolic process,0.00367,3
GO:1901336_lactone biosynthetic process,0.0272,3
GO:0016036_cellular response to phosphate starvation,0.661,3
GO:0009190_cyclic nucleotide biosynthetic process,0.524,3
GO:1901334_lactone metabolic process,0.0328,3
GO:0009744_response to sucrose,8.30E-09,3
GO:0006775_fat-soluble vitamin metabolic process,0.00436,3
GO:0006563_L-serine metabolic process,0.466,3
GO:0046688_response to copper ion,0.0989,3
GO:1901419_regulation of response to alcohol,0.828,3
GO:0009787_regulation of abscisic acid-activated signaling pathway,0.828,3
GO:1905957_regulation of cellular response to alcohol,0.828,3
GO:0009168_purine ribonucleoside monophosphate biosynthetic process,0.922,3
GO:0009127_purine nucleoside monophosphate biosynthetic process,0.922,3
GO:0015849_organic acid transport,0.818,3
GO:0010099_regulation of photomorphogenesis,0.401,3
GO:0006022_aminoglycan metabolic process,0.986,3
GO:0009850_auxin metabolic process,0.874,3
GO:0009411_response to UV,0.294,3
GO:0000272_polysaccharide catabolic process,0.00703,3
GO:0006468_protein phosphorylation,0.291,3
GO:0009072_aromatic amino acid family metabolic process,0.0214,3
GO:1903825_organic acid transmembrane transport,0.295,3
GO:0010951_negative regulation of endopeptidase activity,0.312,3
GO:0010466_negative regulation of peptidase activity,0.312,3
GO:0006814_sodium ion transport,0.0395,3
GO:0016998_cell wall macromolecule catabolic process,0.684,3
GO:1901606_alpha-amino acid catabolic process,0.0747,3
GO:0009110_vitamin biosynthetic process,0.0221,3
GO:0044106_cellular amine metabolic process,0.011,3
GO:0044550_secondary metabolite biosynthetic process,0.438,3
GO:0009694_jasmonic acid metabolic process,0.527,3
GO:0006783_heme biosynthetic process,0.529,3
GO:0045490_pectin catabolic process,0.212,3
GO:0006875_cellular metal ion homeostasis,0.229,3
GO:0009627_systemic acquired resistance,1,3
GO:0010118_stomatal movement,0.00264,3
GO:0097305_response to alcohol,0.528,3
GO:0031537_regulation of anthocyanin metabolic process,0.0308,3
GO:0002237_response to molecule of bacterial origin,0.968,3
GO:0009684_indoleacetic acid biosynthetic process,0.00124,3
GO:0098656_anion transmembrane transport,0.332,3
GO:0045861_negative regulation of proteolysis,0.453,3
GO:0000041_transition metal ion transport,0.349,3
GO:0009106_lipoate metabolic process,0.00137,3
GO:0042168_heme metabolic process,0.673,3
GO:0051346_negative regulation of hydrolase activity,0.51,3
GO:0009063_cellular amino acid catabolic process,0.0769,3
GO:0000959_mitochondrial RNA metabolic process,1,3
GO:0009788_negative regulation of abscisic acid-activated signaling pathway,0.701,3
GO:2000030_regulation of response to red or far red light,0.711,3
GO:0046165_alcohol biosynthetic process,0.00069,3
GO:0009733_response to auxin,0.863,3
GO:0016106_sesquiterpenoid biosynthetic process,0.576,3
GO:0009789_positive regulation of abscisic acid-activated signaling pathway,0.866,3
GO:0052548_regulation of endopeptidase activity,0.409,3
GO:0010260_animal organ senescence,0.402,3
GO:0009932_cell tip growth,0.00014,3
GO:0009851_auxin biosynthetic process,0.845,3
GO:0009863_salicylic acid mediated signaling pathway,0.0405,3
GO:0009737_response to abscisic acid,0.614,3
GO:0034284_response to monosaccharide,0.578,3
GO:0015837_amine transport,0.0304,3
GO:0061025_membrane fusion,0.974,3
GO:0052547_regulation of peptidase activity,0.495,3
GO:0005977_glycogen metabolic process,0.00288,3
GO:0071446_cellular response to salicylic acid stimulus,0.035,3
GO:0006598_polyamine catabolic process,0.0394,3
"GO:0019288_isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",1.00E-30,3
GO:0051554_flavonol metabolic process,0.536,3
GO:0051555_flavonol biosynthetic process,0.536,3
GO:0042542_response to hydrogen peroxide,0.743,3
GO:0051552_flavone metabolic process,0.566,3
GO:0051553_flavone biosynthetic process,0.566,3
GO:0006546_glycine catabolic process,0.0000071,3
GO:0042402_cellular biogenic amine catabolic process,0.00569,3
GO:0042435_indole-containing compound biosynthetic process,0.419,3
GO:0006995_cellular response to nitrogen starvation,0.943,3
GO:0080129_proteasome core complex assembly,1,3
GO:0010413_glucuronoxylan metabolic process,0.867,3
GO:0034754_cellular hormone metabolic process,0.664,3
GO:0043086_negative regulation of catalytic activity,0.00952,3
GO:0045492_xylan biosynthetic process,0.882,3
GO:0046942_carboxylic acid transport,0.21,3
GO:0009071_serine family amino acid catabolic process,1,3
GO:0035435_phosphate ion transmembrane transport,0.0851,3
GO:0010193_response to ozone,0.0936,3
GO:0034219_carbohydrate transmembrane transport,0.96,3
GO:0045491_xylan metabolic process,0.865,3
GO:0009310_amine catabolic process,0.0307,3
GO:0034404_nucleobase-containing small molecule biosynthetic process,0.284,3
GO:0006766_vitamin metabolic process,0.00266,3
GO:0070887_cellular response to chemical stimulus,0.954,3
GO:0005975_carbohydrate metabolic process,0.0314,3
GO:0006544_glycine metabolic process,0.0923,3
GO:0050896_response to stimulus,0.285,3
GO:0010359_regulation of anion channel activity,0.565,3
GO:0043455_regulation of secondary metabolic process,0.0461,3
GO:0009555_pollen development,0.998,3
GO:0032412_regulation of ion transmembrane transporter activity,0.592,3
GO:0022898_regulation of transmembrane transporter activity,0.592,3
GO:1901617_organic hydroxy compound biosynthetic process,0.0248,3
GO:0032409_regulation of transporter activity,0.61,3
GO:0009152_purine ribonucleotide biosynthetic process,0.44,3
GO:0043562_cellular response to nitrogen levels,0.827,3
GO:0009308_amine metabolic process,0.0846,3
GO:0016144_S-glycoside biosynthetic process,1,3
GO:0019761_glucosinolate biosynthetic process,6.10E-20,3
GO:0019758_glycosinolate biosynthetic process,1,3
GO:0044092_negative regulation of molecular function,0.695,3
GO:0009410_response to xenobiotic stimulus,0.971,3
GO:0006865_amino acid transport,0.887,3
GO:0009741_response to brassinosteroid,0.25,3
GO:0009750_response to fructose,0.00233,3
GO:0000302_response to reactive oxygen species,0.351,3
GO:0030048_actin filament-based movement,0.0119,3
GO:0006486_protein glycosylation,1,3
GO:0046164_alcohol catabolic process,0.0489,3
GO:0043413_macromolecule glycosylation,1,3
GO:0006636_unsaturated fatty acid biosynthetic process,3.20E-11,3
GO:0015711_organic anion transport,0.375,3
GO:0006970_response to osmotic stress,0.0429,3
GO:0003333_amino acid transmembrane transport,0.239,3
GO:0016138_glycoside biosynthetic process,5.40E-15,3
GO:0006629_lipid metabolic process,0.0432,3
GO:0009101_glycoprotein biosynthetic process,1,3
GO:0007169_transmembrane receptor protein tyrosine kinase signaling pathway,0.0732,3
GO:0016126_sterol biosynthetic process,0.00201,3
GO:0046218_indolalkylamine catabolic process,0.0339,3
GO:0006569_tryptophan catabolic process,0.0339,3
GO:0016042_lipid catabolic process,0.826,3
GO:0006164_purine nucleotide biosynthetic process,0.625,3
GO:0030003_cellular cation homeostasis,0.0000063,3
GO:0050826_response to freezing,0.784,3
GO:0048438_floral whorl development,0.0409,3
GO:0019760_glucosinolate metabolic process,0.00317,3
GO:0009746_response to hexose,0.00836,3
GO:0009409_response to cold,0.00001,3
GO:1905039_carboxylic acid transmembrane transport,0.288,3
GO:1901659_glycosyl compound biosynthetic process,0.259,3
GO:0031347_regulation of defense response,0.717,3
GO:0006568_tryptophan metabolic process,0.0199,3
GO:0006586_indolalkylamine metabolic process,0.0199,3
GO:0006508_proteolysis,1,3
GO:0034220_ion transmembrane transport,0.294,3
GO:0016137_glycoside metabolic process,0.0134,3
GO:0042446_hormone biosynthetic process,0.918,3
GO:0019344_cysteine biosynthetic process,1.00E-30,3
GO:0005982_starch metabolic process,0.00875,3
GO:0006576_cellular biogenic amine metabolic process,0.414,3
GO:0046777_protein autophosphorylation,0.23,3
GO:0010150_leaf senescence,0.195,3
GO:0090693_plant organ senescence,0.2,3
GO:0043090_amino acid import,0.99,3
GO:0009725_response to hormone,0.276,3
GO:0016556_mRNA modification,0.00124,3
GO:0043269_regulation of ion transport,0.814,3
GO:0016226_iron-sulfur cluster assembly,0.028,3
GO:0031163_metallo-sulfur cluster assembly,0.028,3
GO:0006757_ATP generation from ADP,0.0142,3
GO:0006096_glycolytic process,0.0142,3
GO:0046031_ADP metabolic process,0.0147,3
GO:0016052_carbohydrate catabolic process,0.00021,3
GO:0009832_plant-type cell wall biogenesis,0.00197,3
GO:0009179_purine ribonucleoside diphosphate metabolic process,0.0192,3
GO:0009135_purine nucleoside diphosphate metabolic process,0.0192,3
GO:0009185_ribonucleoside diphosphate metabolic process,0.0198,3
GO:0006165_nucleoside diphosphate phosphorylation,0.0198,3
GO:0045087_innate immune response,0.01,3
GO:0000023_maltose metabolic process,2.30E-17,3
GO:0007167_enzyme linked receptor protein signaling pathway,0.0273,3
GO:0016132_brassinosteroid biosynthetic process,0.00051,3
GO:0015979_photosynthesis,2.10E-14,3
GO:0120178_steroid hormone biosynthetic process,1,3
GO:0009132_nucleoside diphosphate metabolic process,0.0318,3
GO:0043481_anthocyanin accumulation in tissues in response to UV light,0.00012,3
GO:0016129_phytosteroid biosynthetic process,0.275,3
GO:0006812_cation transport,0.635,3
GO:0016131_brassinosteroid metabolic process,0.798,3
GO:0046939_nucleotide phosphorylation,0.0152,3
GO:0104004_cellular response to environmental stimulus,0.0348,3
GO:0071214_cellular response to abiotic stimulus,0.0348,3
GO:0009913_epidermal cell differentiation,0.0175,3
GO:0048569_post-embryonic animal organ development,0.025,3
GO:0030855_epithelial cell differentiation,0.0232,3
GO:0048229_gametophyte development,1,3
GO:1903508_positive regulation of nucleic acid-templated transcription,0.0296,3
"GO:0045893_positive regulation of transcription, DNA-templated",0.0296,3
GO:1902680_positive regulation of RNA biosynthetic process,0.0296,3
GO:0008544_epidermis development,0.0358,3
GO:0055085_transmembrane transport,0.913,3
GO:0005996_monosaccharide metabolic process,0.0141,3
GO:0048646_anatomical structure formation involved in morphogenesis,0.0000079,3
GO:0009165_nucleotide biosynthetic process,0.992,3
GO:0009266_response to temperature stimulus,0.00754,3
GO:1901293_nucleoside phosphate biosynthetic process,0.991,3
GO:0043094_cellular metabolic compound salvage,0.342,3
GO:0007165_signal transduction,1,3
GO:0034976_response to endoplasmic reticulum stress,1,3
GO:0060429_epithelium development,0.0442,3
GO:0007166_cell surface receptor signaling pathway,0.549,3
GO:0051603_proteolysis involved in cellular protein catabolic process,1,3
GO:1901137_carbohydrate derivative biosynthetic process,1,3
GO:0030163_protein catabolic process,1,3
GO:0044282_small molecule catabolic process,0.611,3
GO:0046034_ATP metabolic process,0.444,3
GO:0007030_Golgi organization,0.00068,3
GO:0033993_response to lipid,0.0905,3
GO:0044257_cellular protein catabolic process,1,3
GO:1901565_organonitrogen compound catabolic process,1,3
GO:0009150_purine ribonucleotide metabolic process,0.478,3
GO:0055086_nucleobase-containing small molecule metabolic process,0.968,3
GO:0009164_nucleoside catabolic process,0.907,3
GO:0034656_nucleobase-containing small molecule catabolic process,0.914,3
GO:1901658_glycosyl compound catabolic process,0.916,3
GO:0009205_purine ribonucleoside triphosphate metabolic process,0.914,3
GO:0009144_purine nucleoside triphosphate metabolic process,0.904,3
GO:0009119_ribonucleoside metabolic process,0.915,3
GO:0014070_response to organic cyclic compound,0.869,3
GO:0009199_ribonucleoside triphosphate metabolic process,0.922,3
GO:0009141_nucleoside triphosphate metabolic process,0.929,3
GO:0009886_post-embryonic animal morphogenesis,0.00173,3
GO:1901657_glycosyl compound metabolic process,0.98,3
GO:0044248_cellular catabolic process,1,3
GO:0006518_peptide metabolic process,1,3
GO:0009116_nucleoside metabolic process,0.988,3
GO:0007389_pattern specification process,0.00468,3
GO:0006412_translation,1,3
GO:0043043_peptide biosynthetic process,1,3
GO:0043604_amide biosynthetic process,0.999,3
GO:0070542_response to fatty acid,0.0179,3
GO:0072657_protein localization to membrane,0.188,3
GO:0042743_hydrogen peroxide metabolic process,0.974,3
GO:0090150_establishment of protein localization to membrane,0.169,3
GO:2000377_regulation of reactive oxygen species metabolic process,0.698,3
GO:0009626_plant-type hypersensitive response,0.08,3
GO:0071369_cellular response to ethylene stimulus,1,3
GO:0050776_regulation of immune response,0.14,3
GO:0052314_phytoalexin metabolic process,0.951,3
GO:0052315_phytoalexin biosynthetic process,0.932,3
GO:0051668_localization within membrane,0.126,3
GO:0002682_regulation of immune system process,0.133,3
GO:0046287_isoflavonoid metabolic process,1,3
GO:0000160_phosphorelay signal transduction system,0.992,3
GO:0018958_phenol-containing compound metabolic process,0.487,3
GO:0009717_isoflavonoid biosynthetic process,1,3
GO:0034050_programmed cell death induced by symbiont,0.0893,3
GO:1900376_regulation of secondary metabolite biosynthetic process,0.345,3
GO:0009812_flavonoid metabolic process,0.232,3
GO:0045088_regulation of innate immune response,0.111,3
GO:0072593_reactive oxygen species metabolic process,0.851,3
GO:0051702_biological process involved in interaction with symbiont,0.0935,3
GO:0008219_cell death,0.32,3
GO:0002831_regulation of response to biotic stimulus,0.141,3
GO:0009403_toxin biosynthetic process,0.766,3
GO:0032101_regulation of response to external stimulus,0.119,3
GO:0000038_very long-chain fatty acid metabolic process,0.00039,3
GO:0000103_sulfate assimilation,0.00172,3
GO:0000154_rRNA modification,0.995,3
GO:0000256_allantoin catabolic process,0.0385,3
GO:0000270_peptidoglycan metabolic process,1,3
GO:0000289_nuclear-transcribed mRNA poly(A) tail shortening,1,3
GO:0000304_response to singlet oxygen,0.107,3
GO:0000305_response to oxygen radical,0.235,3
GO:0000413_protein peptidyl-prolyl isomerization,0.00472,3
GO:0000447_endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU...,1,3
"GO:0000462_maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.992,3
"GO:0000463_maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,3
GO:0000470_maturation of LSU-rRNA,0.977,3
"GO:0000472_endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,3
"GO:0000480_endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1,3
GO:0000494_box C/D RNA 3'-end processing,1,3
GO:0000746_conjugation,1,3
GO:0000747_conjugation with cellular fusion,1,3
GO:0001503_ossification,0.687,3
GO:0001516_prostaglandin biosynthetic process,1,3
GO:0001542_ovulation from ovarian follicle,0.285,3
GO:0001561_fatty acid alpha-oxidation,1,3
GO:0001649_osteoblast differentiation,0.445,3
GO:0001706_endoderm formation,1,3
GO:0001707_mesoderm formation,1,3
GO:0001738_morphogenesis of a polarized epithelium,1,3
GO:0001909_leukocyte mediated cytotoxicity,1,3
GO:0002119_nematode larval development,0.986,3
GO:0002213_defense response to insect,0.973,3
GO:0002218_activation of innate immune response,0.96,3
GO:0002229_defense response to oomycetes,0.51,3
GO:0002230_positive regulation of defense response to virus by host,1,3
GO:0002238_response to molecule of fungal origin,0.61,3
GO:0002239_response to oomycetes,0.451,3
GO:0002253_activation of immune response,0.94,3
GO:0002526_acute inflammatory response,0.00104,3
GO:0002683_negative regulation of immune system process,0.951,3
GO:0002684_positive regulation of immune system process,0.67,3
GO:0002763_positive regulation of myeloid leukocyte differentiation,0.0368,3
GO:0002832_negative regulation of response to biotic stimulus,0.904,3
GO:0002833_positive regulation of response to biotic stimulus,0.974,3
GO:0003016_respiratory system process,1,3
GO:0003032_detection of oxygen,1,3
GO:0003341_cilium movement,1,3
GO:0005980_glycogen catabolic process,0.0371,3
GO:0005983_starch catabolic process,0.0474,3
GO:0005986_sucrose biosynthetic process,0.467,3
GO:0005992_trehalose biosynthetic process,0.187,3
GO:0006021_inositol biosynthetic process,0.00572,3
GO:0006023_aminoglycan biosynthetic process,0.825,3
GO:0006024_glycosaminoglycan biosynthetic process,1,3
GO:0006059_hexitol metabolic process,1,3
GO:0006067_ethanol metabolic process,0.0385,3
GO:0006069_ethanol oxidation,0.0385,3
GO:0006076_(1->3)-beta-D-glucan catabolic process,1,3
GO:0006080_substituted mannan metabolic process,1,3
GO:0006084_acetyl-CoA metabolic process,0.00017,3
GO:0006085_acetyl-CoA biosynthetic process,0.222,3
GO:0006086_acetyl-CoA biosynthetic process from pyruvate,0.0844,3
GO:0006097_glyoxylate cycle,0.115,3
GO:0006098_pentose-phosphate shunt,1.00E-30,3
GO:0006104_succinyl-CoA metabolic process,1,3
GO:0006105_succinate metabolic process,1,3
GO:0006107_oxaloacetate metabolic process,0.0477,3
"GO:0006123_mitochondrial electron transport, cytochrome c to oxygen",1,3
GO:0006127_glycerophosphate shuttle,1,3
GO:0006177_GMP biosynthetic process,1,3
GO:0006188_IMP biosynthetic process,0.891,3
GO:0006189_'de novo' IMP biosynthetic process,0.847,3
GO:0006206_pyrimidine nucleobase metabolic process,0.0307,3
GO:0006364_rRNA processing,2.40E-20,3
GO:0006409_tRNA export from nucleus,1,3
GO:0006422_aspartyl-tRNA aminoacylation,1,3
GO:0006424_glutamyl-tRNA aminoacylation,0.331,3
GO:0006457_protein folding,0.746,3
GO:0006487_protein N-linked glycosylation,0.999,3
GO:0006491_N-glycan processing,0.786,3
GO:0006499_N-terminal protein myristoylation,0.954,3
GO:0006522_alanine metabolic process,0.071,3
GO:0006524_alanine catabolic process,0.0231,3
GO:0006528_asparagine metabolic process,0.0239,3
GO:0006529_asparagine biosynthetic process,0.0312,3
GO:0006536_glutamate metabolic process,0.0132,3
GO:0006541_glutamine metabolic process,0.00941,3
GO:0006561_proline biosynthetic process,0.911,3
GO:0006564_L-serine biosynthetic process,0.489,3
GO:0006571_tyrosine biosynthetic process,0.658,3
GO:0006573_valine metabolic process,0.0426,3
GO:0006577_amino-acid betaine metabolic process,0.0368,3
GO:0006578_amino-acid betaine biosynthetic process,0.0368,3
GO:0006580_ethanolamine metabolic process,1,3
GO:0006621_protein retention in ER lumen,1,3
GO:0006659_phosphatidylserine biosynthetic process,0.0529,3
GO:0006692_prostanoid metabolic process,1,3
GO:0006693_prostaglandin metabolic process,1,3
GO:0006722_triterpenoid metabolic process,0.94,3
GO:0006739_NADP metabolic process,0.375,3
GO:0006740_NADPH regeneration,1,3
GO:0006754_ATP biosynthetic process,0.429,3
GO:0006808_regulation of nitrogen utilization,0.0435,3
GO:0006809_nitric oxide biosynthetic process,1,3
GO:0006816_calcium ion transport,0.0012,3
GO:0006835_dicarboxylic acid transport,0.59,3
GO:0006842_tricarboxylic acid transport,0.0231,3
GO:0006862_nucleotide transport,0.968,3
GO:0006888_endoplasmic reticulum to Golgi vesicle-mediated transport,0.998,3
GO:0006949_syncytium formation,0.172,3
GO:0006983_ER overload response,1,3
GO:0007007_inner mitochondrial membrane organization,1,3
GO:0007018_microtubule-based movement,0.00072,3
GO:0007199_G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger,1,3
GO:0007204_positive regulation of cytosolic calcium ion concentration,1,3
GO:0007215_glutamate receptor signaling pathway,1,3
GO:0007263_nitric oxide mediated signal transduction,0.00247,3
GO:0007268_chemical synaptic transmission,0.471,3
GO:0007298_border follicle cell migration,1,3
GO:0007362_terminal region determination,1,3
GO:0007474_imaginal disc-derived wing vein specification,1,3
GO:0007492_endoderm development,1,3
GO:0007585_respiratory gaseous exchange by respiratory system,0.72,3
GO:0007638_mechanosensory behavior,0.0368,3
GO:0008015_blood circulation,1,3
GO:0008277_regulation of G protein-coupled receptor signaling pathway,1,3
GO:0008586_imaginal disc-derived wing vein morphogenesis,1,3
GO:0008589_regulation of smoothened signaling pathway,0.00104,3
GO:0008631_intrinsic apoptotic signaling pathway in response to oxidative stress,1,3
"GO:0009051_pentose-phosphate shunt, oxidative branch",0.0303,3
"GO:0009052_pentose-phosphate shunt, non-oxidative branch",0.0303,3
GO:0009060_aerobic respiration,0.37,3
GO:0009078_pyruvate family amino acid metabolic process,0.071,3
GO:0009080_pyruvate family amino acid catabolic process,0.0231,3
GO:0009094_L-phenylalanine biosynthetic process,1,3
GO:0009142_nucleoside triphosphate biosynthetic process,0.548,3
GO:0009145_purine nucleoside triphosphate biosynthetic process,0.449,3
GO:0009201_ribonucleoside triphosphate biosynthetic process,0.467,3
GO:0009206_purine ribonucleoside triphosphate biosynthetic process,0.409,3
GO:0009228_thiamine biosynthetic process,0.8,3
GO:0009251_glucan catabolic process,0.0337,3
GO:0009252_peptidoglycan biosynthetic process,1,3
GO:0009273_peptidoglycan-based cell wall biogenesis,1,3
GO:0009401_phosphoenolpyruvate-dependent sugar phosphotransferase system,1,3
GO:0009408_response to heat,0.02,3
GO:0009423_chorismate biosynthetic process,0.68,3
GO:0009446_putrescine biosynthetic process,1,3
GO:0009553_embryo sac development,0.999,3
GO:0009560_embryo sac egg cell differentiation,1,3
GO:0009625_response to insect,0.878,3
GO:0009631_cold acclimation,0.0198,3
GO:0009638_phototropism,0.00059,3
GO:0009643_photosynthetic acclimation,0.327,3
GO:0009645_response to low light intensity stimulus,0.0368,3
GO:0009657_plastid organization,6.20E-30,3
GO:0009658_chloroplast organization,0.00376,3
GO:0009686_gibberellin biosynthetic process,0.00727,3
GO:0009690_cytokinin metabolic process,0.804,3
GO:0009700_indole phytoalexin biosynthetic process,1,3
GO:0009704_de-etiolation,0.0015,3
GO:0009714_chalcone metabolic process,1,3
GO:0009715_chalcone biosynthetic process,1,3
GO:0009727_detection of ethylene stimulus,1,3
GO:0009749_response to glucose,0.0115,3
GO:0009756_carbohydrate mediated signaling,0.915,3
GO:0009759_indole glucosinolate biosynthetic process,0.327,3
"GO:0009765_photosynthesis, light harvesting",0.0193,3
GO:0009767_photosynthetic electron transport chain,0.348,3
